original_idx,Condition,gt_cwe,pred_cwe,gt_line,pred_line,line_status,Review_ID
7881,A4_Oracle,CWE-264,CWE-399,"{/~/  *d_ret = trouble + (x * 2);/~/  *str_ret = g_ascii_strup (str, -1);/~/  return TRUE;/~/}","*str_ret = g_ascii_strup (str, -1);",Oracle,REV_001
13204,A2_FunctionLine,CWE-476,CWE-401,"{/~/	int ret = -EINVAL;/~/	/* init RNG */~/	big_key_rng = crypto_alloc_rng(big_key_rng_name, 0, 0);/~/	if (IS_ERR(big_key_rng)) {/~/		big_key_rng = NULL;/~/		return -EFAULT;/~/	ret = crypto_rng_reset(big_key_rng, NULL, crypto_rng_seedsize(big_key_rng));/~/	if (ret)/~/		goto error;/~/	big_key_skcipher = crypto_alloc_skcipher(big_key_alg_name,/~/						 0, CRYPTO_ALG_ASYNC);/~/	if (IS_ERR(big_key_skcipher)) {/~/		big_key_skcipher = NULL;/~/		ret = -EFAULT;/~/		goto error;/~/error:/~/	big_key_rng = NULL;","int ret = -EINVAL;/~/	/* init RNG */~/	big_key_rng = crypto_alloc_rng(big_key_rng_name, 0, 0);/~/	if (IS_ERR(big_key_rng)) {/~/		big_key_rng = NULL;/~/		return -EFAULT;/~/	ret = crypto_rng_reset(big_key_rng, NULL, crypto_rng_seedsize(big_key_rng));/~/	if (ret)/~/		goto error;/~/	big_key_skcipher = crypto_alloc_skcipher(big_key_alg_name,/~/						 0, CRYPTO_ALG_ASYNC);/~/	if (IS_ERR(big_key_skcipher)) {/~/		big_key_skcipher = NULL;/~/		ret = -EFAULT;/~/		goto error;/~/}",No Match,REV_002
17947,A2_FunctionLine,CWE-399,CWE-399,  pp::Module *module = pp::Module::Get();/~/  CHECK(module);/~/  return static_cast<const PPB_NaCl_Private*>(/~/      module->GetBrowserInterface(PPB_NACL_PRIVATE_INTERFACE));/~/},pp::Module *module = pp::Module::Get();/~/  CHECK(module);/~/  return static_cast<const PPB_NaCl_Private*>(/~/      module->GetBrowserInterface(PPB_NACL_PRIVATE_INTERFACE));/~/},Exact Match,REV_003
12363,A1_FunctionOnly,CWE-476,CWE-Other,	if (REMAIN > INT_MAX),if (REMAIN > INT_MAX),N/A,REV_004
9129,A2_FunctionLine,CWE-20,CWE-399,"  assert(pReader);/~/  assert(pos >= 0);/~/  int status;/~/  //#ifdef _DEBUG/~/  //    long long total, available;/~/  //    status = pReader->Length(&total, &available);/~/  //    assert(status >= 0);/~/  //    assert((total < 0) || (available <= total));/~/  //    assert(pos < available);/~/  //    assert((available - pos) >= 1);  //assume here max u-int len is 8/~/  //#endif/~/  status = pReader->Read(pos, 1, &b);/~/  //#ifdef _DEBUG/~/  //    assert((available - pos) >= len);/~/  //#endif","assert(pReader);/~/  assert(pos >= 0);/~/  int status;/~/  //#ifdef _DEBUG/~/  //    long long total, available;/~/  //    status = pReader->Length(&total, &available);/~/  //    assert(status >= 0);/~/  //    assert((total < 0) || (available <= total));/~/  //    assert(pos < available);/~/  //    assert((available - pos) >= 1);  //assume here max u-int len is 8/~/  //#endif/~/  status = pReader->Read(pos, 1, &b);/~/  //#ifdef _DEBUG/~/  //    assert((available - pos) >= len);/~/  //#endif",Exact Match,REV_005
12335,A3_FunctionLineCWE,CWE-119,CWE-416,	/* Prepare to wait on uaddr. */~/	 * race with the atomic proxy lock acquition by the requeue code.,/* Prepare to wait on uaddr. *,Partial Match,REV_006
7501,A1_FunctionOnly,CWE-362,CWE-20,	/* racing with another thread binding seems ok here *,/* racing with another thread binding seems ok here *,N/A,REV_007
10784,A1_FunctionOnly,CWE-416,CWE-399,    : loader_(,: loader_(,N/A,REV_008
18319,A2_FunctionLine,CWE-20,CWE-200,"    ProfileOAuth2TokenServiceFactory::GetForProfile(profile_)->/~/        UpdateCredentials(account_id, result.refresh_token);",if (result.IsSuccess()) {,No Match,REV_009
3856,A1_FunctionOnly,CWE-416,CWE-Other,        char added;/~/        pair->added = 0;,pair->added = 0;,N/A,REV_010
6260,A4_Oracle,CWE-119,CWE-399,{/~/    return m_uid;,return m_uid;,Oracle,REV_011
1188,A3_FunctionLineCWE,CWE-399,CWE-189,"    VLOG(1) << ""...parsing request body"";/~/    std::string error;/~/    if (!ParseJSONDictionary(json, parameters, &error)) {/~/          ""Failed to parse command data: "" + error + ""\n  Data: "" + json));/~/  VLOG(1) << ""Parsed "" << method << "" "" << uri/~/        << std::string(request_info->post_data, request_info->post_data_len);","VLOG(1) << ""...parsing request body"";/~/    std::string error;/~/    if (!ParseJSONDictionary(json, parameters, &error)) {/~/          ""Failed to parse command data: "" + error + ""\n  Data: "" + json));/~/  VLOG(1) << ""Parsed "" << method << "" "" << uri/~/        << std::string(request_info->post_data, request_info->post_data_len);",Exact Match,REV_012
13490,A1_FunctionOnly,CWE-476,CWE-399,		   const struct key_match_data *match_data),const struct key_match_data *match_data),N/A,REV_013
12335,A1_FunctionOnly,CWE-119,CWE-416,	/* Prepare to wait on uaddr. */~/	 * race with the atomic proxy lock acquition by the requeue code.,/* Prepare to wait on uaddr. *,N/A,REV_014
18757,A1_FunctionOnly,CWE-399,CWE-362,  enable_ipc_proxy_ = CommandLine::ForCurrentProcess()->HasSwitch(/~/      switches::kEnableNaClIPCProxy);,enable_ipc_proxy_ = CommandLine::ForCurrentProcess()->HasSwitch(,N/A,REV_015
10505,A2_FunctionLine,CWE-200,CWE-399,"			    iph->protocol,","iph->protocol,",Exact Match,REV_016
1173,A1_FunctionOnly,CWE-264,CWE-399,"  int shmkey = shmget(IPC_PRIVATE, 1, 0666);/~/  if (shmkey == -1)/~/  if (!result)","int shmkey = shmget(IPC_PRIVATE, 1, 0666);",N/A,REV_017
15362,A4_Oracle,CWE-189,CWE-399,  return screen_lock_lib_.GetDefaultImpl(use_stub_impl_);/~/},return screen_lock_lib_.GetDefaultImpl(use_stub_impl_);,Oracle,REV_018
10784,A2_FunctionLine,CWE-416,CWE-399,    : loader_(,: loader_(,Exact Match,REV_019
9129,A3_FunctionLineCWE,CWE-20,CWE-399,"  assert(pReader);/~/  assert(pos >= 0);/~/  int status;/~/  //#ifdef _DEBUG/~/  //    long long total, available;/~/  //    status = pReader->Length(&total, &available);/~/  //    assert(status >= 0);/~/  //    assert((total < 0) || (available <= total));/~/  //    assert(pos < available);/~/  //    assert((available - pos) >= 1);  //assume here max u-int len is 8/~/  //#endif/~/  status = pReader->Read(pos, 1, &b);/~/  //#ifdef _DEBUG/~/  //    assert((available - pos) >= len);/~/  //#endif","assert(pReader);/~/  assert(pos >= 0);/~/  int status;/~/  //#ifdef _DEBUG/~/  //    long long total, available;/~/  //    status = pReader->Length(&total, &available);/~/  //    assert(status >= 0);/~/  //    assert((total < 0) || (available <= total));/~/  //    assert(pos < available);/~/  //    assert((available - pos) >= 1);  //assume here max u-int len is 8/~/  //#endif/~/  status = pReader->Read(pos, 1, &b);/~/  //#ifdef _DEBUG/~/  //    assert((available - pos) >= len);/~/  //#endif",Exact Match,REV_020
1173,A2_FunctionLine,CWE-264,CWE-399,"  int shmkey = shmget(IPC_PRIVATE, 1, 0666);/~/  if (shmkey == -1)/~/  if (!result)","int shmkey = shmget(IPC_PRIVATE, 1, 0666);",Partial Match,REV_021
