original_idx,Condition,Score_RootCause_1_5_A,Score_Evidence_1_5_A,Score_CWE_1_5_A,Score_Repair_1_5_A,Score_UnsupportedClaim_0_1_A,Score_RootCause_1_5_B,Score_Evidence_1_5_B,Score_CWE_1_5_B,Score_Repair_1_5_B,Score_UnsupportedClaim_0_1_B,Score_RootCause_1_5_avg,Score_Evidence_1_5_avg,Score_CWE_1_5_avg,Score_Repair_1_5_avg,Score_UnsupportedClaim_0_1_avg
7881,A4_Oracle,1.0,5.0,5.0,1.0,1.0,1.0,5.0,5.0,1.0,1.0,1.0,5.0,5.0,1.0,1.0
13204,A2_FunctionLine,2.0,3.0,1.0,5.0,1.0,1.0,3.0,1.0,5.0,1.0,1.5,3.0,1.0,5.0,1.0
17947,A2_FunctionLine,3.0,5.0,3.0,1.0,0.0,5.0,5.0,3.0,2.0,1.0,4.0,5.0,3.0,1.5,0.5
12363,A1_FunctionOnly,1.0,3.0,1.0,1.0,0.0,1.0,3.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,0.5
9129,A2_FunctionLine,1.0,3.0,3.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.5,2.0,1.0,1.0
12335,A3_FunctionLineCWE,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5
7501,A1_FunctionOnly,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
10784,A1_FunctionOnly,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
18319,A2_FunctionLine,5.0,3.0,1.0,5.0,1.0,5.0,3.0,1.0,5.0,0.0,5.0,3.0,1.0,5.0,0.5
3856,A1_FunctionOnly,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
6260,A4_Oracle,1.0,5.0,3.0,1.0,1.0,1.0,5.0,3.0,1.0,1.0,1.0,5.0,3.0,1.0,1.0
1188,A3_FunctionLineCWE,1.0,3.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0
